,title,publication,date,exclude,MWPS,MStopWPS,sentence_per_article,Burnet,Doherty,BlakelyThompson,mean_sent,title_word_count,title_stop_words,title_sent,title_fear,mean_title_sent
0, COVID - is our health system ready?," Bega District News; Bega, N.S.W."," Oct 1, 2021",0,17.03846154,5.923076923,26,,Doherty,,0.004806606,8,2,0,0,0
1, Media Watch Dog: AFR Magazine’s Power issue is in need of a re-set," The Australian (Online); Canberra, A.C.T."," Oct 1, 2021",0,21.74642857,7.282142857,280,Burnet,,,0.014101678,16,5,0,0,0
2, Vow to get this place open as cases rocket," The Australian; Canberra, A.C.T."," Oct 1, 2021",0,30.69565217,10.73913043,23,Burnet,,,0.027347936,9,3,0,0,0
3, Vow to get this place open as cases rocket," The Australian; Canberra, A.C.T."," Oct 1, 2021",0,30.69565217,10.73913043,23,Burnet,,,0.027347936,9,3,0,0,0
4, Lockdown exit at risk after record virus tally," The Age; Melbourne, Vic."," Oct 1, 2021",0,26.39473684,8.526315789,38,Burnet,,,0.00036421,8,2,-2,1,-0.25
5, What happens if Victoria’s hospitals are overrun with Covid patients, Herald Sun (Online); Melbourne," Sep 30, 2021",0,32.04761905,10.47619048,21,,Doherty,,-0.015962212,12,4,0,0,0
6, Queenslanders may get clarity on roadmap as state juggles COVID-19 clusters:   Queenslanders may be set to gain more clarity around the state's border restrictions today when Premier Annastacia Palaszczuk meets with National Cabinet., ABC Premium News; Sydney," Sep 30, 2021",0,24.35483871,7.870967742,31,,Doherty,,0.026144816,36,8,1,0,0.027777778
7, The time is right for a fresh challenge on state borders," The Australian (Online); Canberra, A.C.T."," Sep 30, 2021",0,24.66666667,8.404761905,42,Burnet,Doherty,,0.008309185,11,4,-1,1,-0.090909091
8, Vow to get Victoria open as Covid-19 cases rocket," The Australian (Online); Canberra, A.C.T."," Sep 30, 2021",0,31,10.86956522,23,Burnet,,,0.029989473,9,2,0,0,0
9, National cabinet meeting to decide whether states stick to roadmap out of Covid-19 restrictions," The Courier - Mail (Online); Brisbane, Qld."," Sep 30, 2021",0,33.18181818,12.09090909,11,,Doherty,,0.04882961,14,4,1,0,0.071428571
10, Premier urged to stick to the national reopening Covid plan, The Mercury (Online); Hobart Town," Sep 30, 2021",0,24.71428571,7.619047619,21,,Doherty,,0.009549083,10,3,0,0,0
11," Budget bottom line $80bn better than expected, but still in deficit"," News.com.au; Sydney, N.S.W."," Sep 30, 2021",0,38.85714286,14.78571429,14,,Doherty,,-0.009056641,13,3,-2,0,-0.153846154
12, Modelling institute’s job cash in doubt," The Daily Telegraph; Surry Hills, N.S.W."," Sep 30, 2021",0,32.4,10.3,10,Burnet,,,0.0217355,8,2,1,2,0.125
13, Believing falsehoods," The Daily Telegraph; Surry Hills, N.S.W."," Sep 30, 2021",0,20.06521739,6.369565217,46,Burnet,Doherty,,-0.033046959,2,0,0,0,0
14, LNP GRIPE DISMISSED," The Courier - Mail; Brisbane, Qld."," Sep 30, 2021",0,33.75,11.5,4,,Doherty,,0.005602241,3,0,0,0,0
15, LNP GRIPE DISMISSED," The Courier - Mail; Brisbane, Qld."," Sep 30, 2021",0,33.75,11.5,4,,Doherty,,0.005602241,3,0,0,0,0
16, LNP GRIPE DISMISSED," The Courier - Mail; Brisbane, Qld."," Sep 30, 2021",0,33.75,11.5,4,,Doherty,,0.005602241,3,0,0,0,0
17, Modelling institute’s job cash in doubt," The Daily Telegraph; Surry Hills, N.S.W."," Sep 30, 2021",0,32.4,10.3,10,Burnet,,,0.0217355,8,2,1,2,0.125
18, Vics face big fine for hotel debacle," The Daily Telegraph; Surry Hills, N.S.W."," Sep 30, 2021",0,21.44,6.8,25,Burnet,,,0.021730063,7,1,-1,1,-0.142857143
19, Vics face big fine for hotel debacle," The Daily Telegraph; Surry Hills, N.S.W."," Sep 30, 2021",0,21.44,6.8,25,Burnet,,,0.021730063,7,1,-1,1,-0.142857143
20, THE FARCE AND THE FURIOUS," Herald Sun; Melbourne, Vic."," Sep 30, 2021",0,20.5,6.5,44,Burnet,Doherty,,-0.03500617,5,0,0,0,0
21, DELTA THREAT RIPS HEART OUT," The Mercury; Hobart Town, Tas."," Sep 30, 2021",0,34.66666667,12.66666667,18,,Doherty,,-0.005520787,5,0,0,0,0
22, Qld to record at least one new virus case, AAP Bulletin Wire; Sydney," Se p 30, 2021",0,24.04347826,7.47826087,23,,Doherty,,0.032064331,9,2,-2,1,-0.222222222
23, Child dies after family on hold to triple zero," The Bendigo Advertiser; Bendigo, Vic."," Sep 30, 2021",0,29.04545455,9.772727273,22,Burnet,,,-0.016666706,9,3,0,0,0
24, COVID - is our health system ready?," Magnet; Eden, N.S.W."," Sep 30, 2021",0,17.03846154,5.923076923,26,,Doherty,,0.004806606,8,2,0,0,0
25, COVID raises the stakes - are we ready?," The Cowra Guardian; Cowra, N.S.W."," Sep 30, 2021",0,20.07894737,7.368421053,38,,Doherty,,0.010751443,9,3,0,0,0
26, 100 COVID deaths predicted if state borders open," The Examiner; Launceston, Tas."," Sep 30, 2021",0,27.66666667,8.666666667,3,,Doherty,,-0.009401709,8,1,0,0,0
27, 100 COVID deaths predicted if state borders open," The Examiner; Launceston, Tas."," Sep 30, 2021",0,27.66666667,8.666666667,3,,Doherty,,-0.009401709,8,1,0,0,0
28, Pandemic pressure: Can NSW rural and regional health cope?," The Cowra Guardian; Cowra, N.S.W."," Sep 30, 2021",0,25.80952381,9.285714286,42,,Doherty,,0.007974796,11,1,-1,0,-0.090909091
29, Child dies after family on hold to triple zero," The Bendigo Advertiser; Bendigo, Vic."," Sep 30, 2021",0,29.04545455,9.772727273,22,Burnet,,,-0.016666706,9,3,0,0,0
30, The uncertainty of the pandemic persists," Advocate; Burnie, Tas."," Sep 30, 2021",0,22.29411765,9.529411765,17,,Doherty,,-0.013124136,6,2,-1,1,-0.166666667
31, 100 COVID deaths predicted if state borders open," The Transcontinental; Port Augusta, S. Aust."," Sep 30, 2021",0,27.66666667,8.666666667,3,,Doherty,,-0.009401709,8,1,0,0,0
32, A reality check some needed," The Examiner; Launceston, Tas."," Sep 30, 2021",0,21.77777778,8.722222222,18,,Doherty,,0.014543078,5,1,0,0,0
33, Modelling tips 100 state virus deaths," Advocate; Burnie, Tas."," Sep 30, 2021",0,23.16666667,7.416666667,12,,Doherty,,0.002132452,6,0,-1,0,-0.166666667
34, Nurses have 'nervous anticipation' over borders reopening," Advocate; Burnie, Tas."," Sep 30, 2021",1,26.33333333,6.833333333,6,,,,-0.029251385,8,2,0,0,0
35," Regional outbreak continues to grow; new case in Ballarat, two in Moorabool"," The Courier; Ballarat, Vic."," Sep 30, 2021",0,24.5,7.857142857,14,,,,0.026784112,14,3,0,1,0
36, 100 COVID deaths predicted if state borders open," The Examiner; Launceston, Tas."," Sep 30, 2021",0,27.66666667,8.666666667,3,,Doherty,,-0.009401709,8,1,0,0,0
37," High death rate likely with reopening plan, Premier says"," Advocate; Burnie, Tas."," Sep 30, 2021",0,27.66666667,8.666666667,3,,Doherty,,-0.009401709,10,1,-1,1,-0.1
38," Victoria records highest-ever daily COVID-19 total, with five deaths and 1,438 new cases:   Victorian authorities say illegal gatherings and house parties over the grand final day long weekend are behind the dramatic jump of 1,438 new COVID-19 infections in the state.", ABC Premium News; Sydney," Sep 29, 2021",0,24.74390244,7.975609756,82,Burnet,Doherty,,0.012835414,44,10,0,1,0
39, The Victorian Health Department is facing nearly $100 million in fines," The Daily Telegraph (Online); Surrey Hills, N.S.W."," Sep 29, 2021",0,21.20833333,6.583333333,24,Burnet,,,0.024447076,12,2,0,0,0
40, Victorian paramedics under ‘huge stress’ with highest number of triple-0 calls in years," News.com.au; Sydney, N.S.W."," Sep 29, 2021",0,33.9375,12.375,16,Burnet,,,0.018498397,15,4,-2,1,-0.133333333
41, LNP’s complaint that Premier Annastacia Palaszczuk misled parliament on Covid modelling dismissed," The Courier - Mail (Online); Brisbane, Qld."," Sep 29, 2021",0,31.92307692,12.53846154,13,,Doherty,,0.023979445,14,3,-1,0,-0.071428571
42, Covid and borders: Peter Gutwein reveals what opening up will mean for Tassie, The Mercury (Online); Hobart Town," Sep 29, 2021",0,35.36,12.4,25,,Doherty,,0.006301805,14,5,0,0,0
43, Andrew Bolt: Doom and gloom virus models holding Victorians hostage, Herald Sun (Online); Melbourne," Sep 29, 2021",0,20.53488372,6.558139535,43,Burnet,Doherty,,-0.035526375,11,1,-3,1,-0.272727273
44, Burnet Institute refusing to return JobKeeper despite $60m surplus," The Daily Telegraph (Online); Surrey Hills, N.S.W."," Sep 29, 2021",0,42.08333333,13.41666667,12,Burnet,,,0.017043916,10,1,0,0,0
45, Victoria’s Covid Delta peak to hit higher number than NSW," The Daily Telegraph (Online); Surrey Hills, N.S.W."," Sep 29, 2021",0,20,6.25,24,Burnet,,,0.018421369,12,3,-1,0,-0.083333333
46, Qld to record at least one new virus case, AAP General News Wire; Sydney," Sep 29, 2021",1,31.85714286,9.142857143,7,,,,-0.006717546,9,2,-2,1,-0.222222222
47, Qld sweats on test results after new cases, AAP General News Wire; Sydney," Sep 29, 2021",1,27.33333333,11,3,,,,-0.00122549,8,2,0,0,0
48, Queensland Speaker dismisses LNP referral of Palaszczuk to parliamentary committee over Doherty COVID modelling:   A referral made by the Queensland Opposition alleging Premier Annastacia Palaszczuk deliberately misled Parliament over Doherty Institute COVID modelling is dismissed by the Speaker., ABC Premium News; Sydney," Sep 29, 2021",0,27.2,9.7,20,,Doherty,,0.026973577,40,9,0,0,0
49," When are COVID disaster payments ending and why is the government phasing them out?:   The federal government has outlined how the payments, which are designed to support people who have lost work during lockdowns, will be phased out as more Australians are vaccinated.", ABC Premium News; Sydney," Sep 29, 2021",0,23.54166667,8.125,48,,Doherty,,-0.001784327,48,22,-4,3,-0.083333333
50," Tasmania needs 90 per cent COVID vaccination rate before fully opening borders, Premier warns:   Tasmania's Premier warns the state will not reopen its borders to all interstate travellers until it reaches a 90 per cent vaccination rate, saying modelling for an 80 per cent target shows the state could record nearly 15,000 COVID cases in six months.", ABC Premium News; Sydney," Sep 29, 2021",0,34.6,12.6,35,,Doherty,,0.001670803,62,14,1,0,0.016129032
51, Tasmania doubles down on tough borders, AAP Bulletin Wire; Sydney," Sep 29, 2021",0,21.47619048,7.19047619,21,,Doherty,,0.016386341,6,2,-1,0,-0.166666667
52, Tasmania doubles down on tough borders, AAP General News Wire; Sydney," Sep 29, 2021",0,28,8.5,2,,,,0,6,2,-1,0,-0.166666667
53, 'Unprecedented demand' hits triple zero, AAP General News Wire; Sydney," Sep 29, 2021",1,31.66666667,10,3,,,,-0.02958153,6,0,-1,0,-0.166666667
54, Vic child dies after family on hold to 000, AAP General News Wire; Sydney," Sep 29, 2021",1,28.5,11,4,,,,-0.071895425,9,3,1,0,0.111111111
55, State on edge as lockdown looms," The Courier - Mail; Brisbane, Qld."," Sep 29, 2021",0,32.92307692,9.179487179,39,,Doherty,,0.003354335,6,2,0,0,0
56, Q & A," Herald Sun; Melbourne, Vic."," Sep 29, 2021",0,20.78947368,6.315789474,19,Burnet,,,0.003748832,3,0,0,0,0
57, State on edge as lockdown looms," The Courier - Mail; Brisbane, Qld."," Sep 29, 2021",0,32.92307692,9.179487179,39,,Doherty,,0.003354335,6,2,0,0,0
58, State on edge as lockdown looms," The Courier - Mail; Brisbane, Qld."," Sep 29, 2021",0,32.92307692,9.179487179,39,,Doherty,,0.003354335,6,2,0,0,0
59, No fines for businesses letting in unvaxxed customers," The Daily Telegraph; Surry Hills, N.S.W."," Sep 29, 2021",0,23.3125,7.8125,16,,,,0.040835876,8,2,0,0,0
60, Vaccinating children ‘to slash hospital rates’," The Australian; Canberra, A.C.T."," Sep 29, 2021",0,26.14285714,9.535714286,28,,Doherty,Blakely,0.045196477,8,1,0,1,0
