,title,publication,date,exclude,MWPS,MStopWPS,sentence_per_article,Burnet,Doherty,BlakelyThompson
0, COVID - is our health system ready?," Bega District News; Bega, N.S.W."," Oct 1, 2021",0.0,17.03846153846154,5.923076923076923,26.0,,Doherty,
1, Media Watch Dog: AFR Magazine’s Power issue is in need of a re-set," The Australian (Online); Canberra, A.C.T."," Oct 1, 2021",0.0,21.74642857142857,7.2821428571428575,280.0,Burnet,,
2, Vow to get this place open as cases rocket," The Australian; Canberra, A.C.T."," Oct 1, 2021",0.0,30.695652173913043,10.73913043478261,23.0,Burnet,,
3, Vow to get this place open as cases rocket," The Australian; Canberra, A.C.T."," Oct 1, 2021",0.0,30.695652173913043,10.73913043478261,23.0,Burnet,,
4, Lockdown exit at risk after record virus tally," The Age; Melbourne, Vic."," Oct 1, 2021",0.0,26.394736842105264,8.526315789473685,38.0,Burnet,,
5, What happens if Victoria’s hospitals are overrun with Covid patients, Herald Sun (Online); Melbourne," Sep 30, 2021",0.0,32.04761904761905,10.476190476190476,21.0,,Doherty,
6, Queenslanders may get clarity on roadmap as state juggles COVID-19 clusters:   Queenslanders may be set to gain more clarity around the state's border restrictions today when Premier Annastacia Palaszczuk meets with National Cabinet., ABC Premium News; Sydney," Sep 30, 2021",0.0,24.35483870967742,7.870967741935484,31.0,,Doherty,
7, The time is right for a fresh challenge on state borders," The Australian (Online); Canberra, A.C.T."," Sep 30, 2021",0.0,24.666666666666668,8.404761904761905,42.0,Burnet,Doherty,
8, Vow to get Victoria open as Covid-19 cases rocket," The Australian (Online); Canberra, A.C.T."," Sep 30, 2021",0.0,31.0,10.869565217391305,23.0,Burnet,,
9, National cabinet meeting to decide whether states stick to roadmap out of Covid-19 restrictions," The Courier - Mail (Online); Brisbane, Qld."," Sep 30, 2021",0.0,33.18181818181818,12.090909090909092,11.0,,Doherty,
10, Premier urged to stick to the national reopening Covid plan, The Mercury (Online); Hobart Town," Sep 30, 2021",0.0,24.714285714285715,7.619047619047619,21.0,,Doherty,
11," Budget bottom line $80bn better than expected, but still in deficit"," News.com.au; Sydney, N.S.W."," Sep 30, 2021",0.0,38.857142857142854,14.785714285714286,14.0,,Doherty,
12, Modelling institute’s job cash in doubt," The Daily Telegraph; Surry Hills, N.S.W."," Sep 30, 2021",0.0,32.4,10.3,10.0,Burnet,,
13, Believing falsehoods," The Daily Telegraph; Surry Hills, N.S.W."," Sep 30, 2021",0.0,20.065217391304348,6.369565217391305,46.0,Burnet,Doherty,
14, LNP GRIPE DISMISSED," The Courier - Mail; Brisbane, Qld."," Sep 30, 2021",0.0,33.75,11.5,4.0,,Doherty,
15, LNP GRIPE DISMISSED," The Courier - Mail; Brisbane, Qld."," Sep 30, 2021",0.0,33.75,11.5,4.0,,Doherty,
16, LNP GRIPE DISMISSED," The Courier - Mail; Brisbane, Qld."," Sep 30, 2021",0.0,33.75,11.5,4.0,,Doherty,
17, Modelling institute’s job cash in doubt," The Daily Telegraph; Surry Hills, N.S.W."," Sep 30, 2021",0.0,32.4,10.3,10.0,Burnet,,
18, Vics face big fine for hotel debacle," The Daily Telegraph; Surry Hills, N.S.W."," Sep 30, 2021",0.0,21.44,6.8,25.0,Burnet,,
19, Vics face big fine for hotel debacle," The Daily Telegraph; Surry Hills, N.S.W."," Sep 30, 2021",0.0,21.44,6.8,25.0,Burnet,,
20, THE FARCE AND THE FURIOUS," Herald Sun; Melbourne, Vic."," Sep 30, 2021",0.0,20.5,6.5,44.0,Burnet,Doherty,
