,0
0," The Australian; Canberra, A.C.T."
1," The Courier - Mail (Online); Brisbane, Qld."
2," Manawatu Standard; Palmerston North, New Zealand"
3," The Press; Christchurch, New Zealand"
4," Dominion Post; Wellington, New Zealand"
5," The Australian (Online); Canberra, A.C.T."
6, Herald Sun (Online); Melbourne
7, The Mercury (Online); Hobart Town
8," Advocate; Burnie, Tas."
9," The Daily Telegraph (Online); Surrey Hills, N.S.W."
10," The Age; Melbourne, Vic."
11," News.com.au; Sydney, N.S.W."
12," News.com.au; Sydney, N.S.W."
13," News.com.au; Sydney, N.S.W."
14," The Age; Melbourne, Vic."
15," The Australian (Online); Canberra, A.C.T."
16," The Australian; Canberra, A.C.T."
17," The Age; Melbourne, Vic."
18," The Age; Melbourne, Vic."
19," The Australian (Online); Canberra, A.C.T."
20," The Australian; Canberra, A.C.T."
21," The Australian; Canberra, A.C.T."
22," Newcastle Herald; Newcastle, N.S.W."
23," Newcastle Herald; Newcastle, N.S.W."
24," The Age; Melbourne, Vic."
25," The Australian (Online); Canberra, A.C.T."
26," The Australian (Online); Canberra, A.C.T."
27," News.com.au; Sydney, N.S.W."
28," The Australian (Online); Canberra, A.C.T."
29, Herald Sun (Online); Melbourne
30, Herald Sun (Online); Melbourne
31," Sydney Morning Herald; Sydney, N.S.W."
32," The Courier - Mail; Brisbane, Qld."
33," News.com.au; Sydney, N.S.W."
34," The Australian (Online); Canberra, A.C.T."
35," The Australian (Online); Canberra, A.C.T."
36," The Australian (Online); Canberra, A.C.T."
37," The Daily Telegraph (Online); Surrey Hills, N.S.W."
38," The Canberra Times; Canberra, A.C.T."
39," The Canberra Times; Canberra, A.C.T."
40," Weekend Australian; Canberra, A.C.T."
41," The Age; Melbourne, Vic."
42, The Advertiser (Online); Adelaide
43," The Australian (Online); Canberra, A.C.T."
44," The Australian (Online); Canberra, A.C.T."
45," The Daily Telegraph (Online); Surrey Hills, N.S.W."
46, Herald Sun (Online); Melbourne
47," The Australian (Online); Canberra, A.C.T."
48," The Age; Melbourne, Vic."
49," The Australian (Online); Canberra, A.C.T."
50," The Courier - Mail (Online); Brisbane, Qld."
51," The Australian (Online); Canberra, A.C.T."
52," The Australian (Online); Canberra, A.C.T."
53," News.com.au; Sydney, N.S.W."
54," News.com.au; Sydney, N.S.W."
55," The Australian (Online); Canberra, A.C.T."
56," The Daily Telegraph (Online); Surrey Hills, N.S.W."
57," The Daily Telegraph (Online); Surrey Hills, N.S.W."
58," News.com.au; Sydney, N.S.W."
59," The Australian (Online); Canberra, A.C.T."
60," The Australian (Online); Canberra, A.C.T."
61," News.com.au; Sydney, N.S.W."
62," The Courier - Mail (Online); Brisbane, Qld."
63," Sunday Age; Melbourne, Vic."
64," The Australian (Online); Canberra, A.C.T."
65," The Australian (Online); Canberra, A.C.T."
66," The Australian (Online); Canberra, A.C.T."
67, Herald Sun (Online); Melbourne
68," The Courier - Mail (Online); Brisbane, Qld."
69," The Daily Telegraph (Online); Surrey Hills, N.S.W."
70, Herald Sun (Online); Melbourne
71, Herald Sun (Online); Melbourne
72, Herald Sun (Online); Melbourne
73," News.com.au; Sydney, N.S.W."
74," The Australian (Online); Canberra, A.C.T."
75," News.com.au; Sydney, N.S.W."
76," News.com.au; Sydney, N.S.W."
77," The Australian (Online); Canberra, A.C.T."
78, Herald Sun (Online); Melbourne
79," The Australian (Online); Canberra, A.C.T."
80," The Australian (Online); Canberra, A.C.T."
81," The Australian (Online); Canberra, A.C.T."
82," The Australian (Online); Canberra, A.C.T."
83," The Australian (Online); Canberra, A.C.T."
84," The Northern Advocate; Whangarei, New Zealand"
85," Bay of Plenty Times; Tauranga, New Zealand"
86," The Daily Post; Rotorua, New Zealand"
87," The Courier - Mail (Online); Brisbane, Qld."
88," The Courier - Mail (Online); Brisbane, Qld."
89," The Daily Telegraph (Online); Surrey Hills, N.S.W."
90," The Daily Telegraph (Online); Surrey Hills, N.S.W."
91," The Daily Telegraph (Online); Surrey Hills, N.S.W."
92," The Daily Telegraph (Online); Surrey Hills, N.S.W."
93, Herald Sun (Online); Melbourne
94," The Age; Melbourne, Vic."
95," Herald Sun; Melbourne, Vic."
96," Weekend Australian; Canberra, A.C.T."
97," The Australian; Canberra, A.C.T."
98," Weekend Australian; Canberra, A.C.T."
99," Weekend Australian; Canberra, A.C.T."
100," The Courier - Mail; Brisbane, Qld."
101," The Courier - Mail; Brisbane, Qld."
102," The Press; Christchurch, New Zealand"
103," Herald Sun; Melbourne, Vic."
104," Herald Sun; Melbourne, Vic."
105," Advocate; Burnie, Tas."
106," Bay Post; Batemans Bay, N.S.W."
107," Weekend Australian; Canberra, A.C.T."
108," The Border Mail; Albury-Wodonga, N.S.W."
109," The Examiner; Launceston, Tas."
110," Herald Sun; Melbourne, Vic."
111," The Gold Coast Bulletin; Southport, Qld."
112, Herald Sun (Online); Melbourne
113," The Australian; Canberra, A.C.T."
114," The Australian; Canberra, A.C.T."
115," The Australian; Canberra, A.C.T."
116," Herald Sun; Melbourne, Vic."
117," The Australian; Canberra, A.C.T."
118," The Age; Melbourne, Vic."
119," The Age; Melbourne, Vic."
120," The Daily Telegraph; Surry Hills, N.S.W."
121," The Daily Telegraph; Surry Hills, N.S.W."
122," Newcastle Herald; Newcastle, N.S.W."
123," The Daily Telegraph; Surry Hills, N.S.W."
124," The Daily Telegraph; Surry Hills, N.S.W."
125," The Daily Telegraph; Surry Hills, N.S.W."
126," The Daily Telegraph; Surry Hills, N.S.W."
127," Sun Herald; Sydney, N.S.W."
128," Herald Sun; Melbourne, Vic."
129," Weekend Australian; Canberra, A.C.T."
130," Herald Sun; Melbourne, Vic."
131," The Cairns Post; Cairns, Qld."
132," The Australian; Canberra, A.C.T."
133," The Australian; Canberra, A.C.T."
134," The Australian; Canberra, A.C.T."
135," The Australian; Canberra, A.C.T."
136," The Australian; Canberra, A.C.T."
137," The Courier - Mail; Brisbane, Qld."
138," The Australian; Canberra, A.C.T."
139," The Courier - Mail; Brisbane, Qld."
140," The Courier - Mail; Brisbane, Qld."
141," Sydney Morning Herald; Sydney, N.S.W."
142," News.com.au; Sydney, N.S.W."
143," Weekend Australian; Canberra, A.C.T."
144," Weekend Australian; Canberra, A.C.T."
145," Sydney Morning Herald; Sydney, N.S.W."
146," The Age; Melbourne, Vic."
147," The Age; Melbourne, Vic."
148," The Courier - Mail; Brisbane, Qld."
149," The Courier - Mail; Brisbane, Qld."
150," The Courier - Mail; Brisbane, Qld."
151, The Gold Coast Bulletin (Online); Southport
152," Weekend Australian; Canberra, A.C.T."
153," The Australian; Canberra, A.C.T."
154," Sydney Morning Herald; Sydney, N.S.W."
155," The Age; Melbourne, Vic."
156," Sun Herald; Sydney, N.S.W."
157," The Courier - Mail; Brisbane, Qld."
158," The Courier - Mail; Brisbane, Qld."
159," Herald Sun; Melbourne, Vic."
160," The Courier - Mail; Brisbane, Qld."
161," The Courier - Mail; Brisbane, Qld."
162," The Australian; Canberra, A.C.T."
163," The Australian; Canberra, A.C.T."
164," The Australian; Canberra, A.C.T."
165," The Australian; Canberra, A.C.T."
166," The Advertiser; Adelaide, S. Aust."
167," The Advertiser; Adelaide, S. Aust."
