Var1,Freq
AAP Bulletin Wire,104
AAP General News Wire,32
ABC Premium News,97
Advocate,6
Bay Post,1
Bega District News,1
Central Western Daily,2
Daily Liberal and Macquarie Advocate,1
Forbes Advocate,1
Geelong Advertiser,8
Herald Sun,125
Illawarra Mercury,2
Maitland Mercury,1
Milton Ulladulla Times,1
Newcastle Herald,19
News Mail Bundaberg,1
News.com.au,57
Oberon Review,1
Port Macquarie News,2
Port Stephens Examiner,2
Queensland Country Life,1
Redland City Bulletin,1
South Coast Register,1
St. George and Sutherland Shire Leader,1
Stock and Land,1
Sun Herald,18
Sunday Age,24
Sunday Tasmanian,1
Sunday Telegraph,3
Sunshine Coast Daily,1
Sydney Morning Herald,80
The Advertiser,18
The Age,143
The Armidale Express,1
The Australian,209
The Bendigo Advertiser,4
The Border Mail,3
The Cairns Post,10
The Camden Haven Courier,1
The Canberra Times,56
The Courier,16
The Courier - Mail,114
The Cowra Guardian,2
The Daily Advertiser,2
The Daily Mercury,1
The Daily Telegraph,72
The Examiner,9
The Gold Coast Bulletin,19
The Gympie Times,1
The Mercury,14
The Morning Bulletin,1
The North West Star,1
The Northern Daily Leader,1
The Northern Star,1
The Northern Territory News,14
The Standard,6
The Transcontinental,2
The Weekend Australian Magazine,3
The Young Witness,2
Townsville Bulletin,7
Weekend Australian,39
