,negative,anticipation,anger,surprise,positive,fear,sadness,disgust,trust,joy
0,1.0,,,,,,,,,
1,,1.0,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,1.0,,,,,,,,
8,1.0,,,,,,,,,
9,1.0,,1.0,,,,,,,
10,,,,1.0,,,,,,
11,,,,,1.0,,,,,
12,,,,,1.0,,,,,
13,1.0,,1.0,,,1.0,1.0,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,2.0,,1.0,1.0,,2.0,2.0,,,
17,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,
18,,,,,,,,,,
19,2.0,,1.0,1.0,,2.0,2.0,,,
20,1.0,,,,,1.0,1.0,,,
21,1.0,,,,,1.0,1.0,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,1.0,,1.0,,,,,,1.0,
25,,,,,,,,,,
26,,,,,,,,,,
27,1.0,,,,1.0,,,,,
28,,1.0,,,1.0,,,,1.0,1.0
29,,,,,,,,,,
30,,,1.0,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,1.0,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,1.0,,,,,1.0,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,1.0,,,,
41,1.0,,,,,,,,,
42,,,,,,,,,,
43,1.0,,,,3.0,,,,,
44,,,,,2.0,,,,,
45,1.0,1.0,1.0,1.0,,1.0,,,,
46,,,,,,,,,,
47,1.0,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,1.0,
50,,1.0,,1.0,2.0,,,,2.0,2.0
51,2.0,,1.0,,,1.0,2.0,,,
52,,,,,,,,,,
53,,,,,1.0,,,,1.0,
54,,,,,1.0,,,,1.0,
55,2.0,,1.0,,1.0,,1.0,,,
56,1.0,1.0,,,2.0,,,,2.0,
57,1.0,1.0,,,2.0,,,,2.0,
58,,,,,,,,,,
59,,1.0,,1.0,1.0,,,,1.0,1.0
60,,,,,,,,,,
61,,,,,1.0,,,,,
62,,,,,,,,,,
63,1.0,,,,,,,,1.0,
64,,,,,,,,,,
65,,,,,1.0,,,,,
66,,,,,,,,,,
67,,1.0,,,1.0,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,1.0,1.0,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,1.0,,,,,1.0,,,,
75,,,,,,,,,,
